"","M1","M2","M3","M4","M5","M6"
"ASV439",29,0,0,0,0,0
"ASV440",21,8,0,0,0,0
"ASV441",14,0,5,5,0,5
"ASV442",9,8,12,0,0,0
"ASV443",0,29,0,0,0,0
"ASV444",0,0,14,15,0,0
"ASV445",0,0,12,17,0,0
"ASV446",0,0,0,6,14,9
"ASV448",0,0,0,0,0,29
"ASV449",28,0,0,0,0,0
"ASV450",12,16,0,0,0,0
"ASV451",9,8,11,0,0,0
"ASV452",0,6,6,16,0,0
"ASV453",0,0,0,0,10,18
"ASV455",0,27,0,0,0,0
"ASV456",0,0,27,0,0,0
"ASV457",0,0,15,0,12,0
"ASV458",0,0,0,0,27,0
"ASV459",26,0,0,0,0,0
"ASV460",26,0,0,0,0,0
"ASV461",10,16,0,0,0,0
"ASV462",0,0,12,6,8,0
"ASV463",0,0,11,8,0,7
"ASV464",0,0,7,10,9,0
"ASV465",0,0,0,0,0,26
"ASV466",25,0,0,0,0,0
"ASV467",6,0,13,6,0,0
"ASV468",0,0,0,25,0,0
"ASV469",0,0,0,0,15,10
"ASV470",24,0,0,0,0,0
"ASV471",24,0,0,0,0,0
"ASV472",0,24,0,0,0,0
"ASV473",0,24,0,0,0,0
"ASV474",0,24,0,0,0,0
"ASV475",0,0,9,4,11,0
"ASV476",0,0,0,0,24,0
"ASV477",0,0,0,0,15,9
"ASV478",0,0,0,0,15,9
"ASV479",0,0,0,0,0,24
"ASV480",23,0,0,0,0,0
"ASV481",15,0,0,0,8,0
"ASV482",12,11,0,0,0,0
"ASV483",0,23,0,0,0,0
"ASV484",0,0,23,0,0,0
"ASV485",0,0,10,13,0,0
"ASV487",0,0,0,23,0,0
"ASV488",0,0,0,0,23,0
"ASV489",0,0,0,0,0,23
"ASV490",22,0,0,0,0,0
"ASV491",22,0,0,0,0,0
"ASV492",0,22,0,0,0,0
"ASV493",0,22,0,0,0,0
"ASV494",0,0,3,6,10,3
"ASV495",0,0,0,0,16,6
"ASV496",0,0,0,0,12,10
"ASV497",21,0,0,0,0,0
"ASV498",21,0,0,0,0,0
"ASV499",6,0,0,0,15,0
"ASV501",0,0,21,0,0,0
"ASV502",20,0,0,0,0,0
"ASV503",20,0,0,0,0,0
"ASV504",0,20,0,0,0,0
"ASV505",0,16,4,0,0,0
"ASV506",0,0,5,8,7,0
"ASV507",0,0,0,20,0,0
"ASV508",9,0,8,0,2,0
"ASV509",0,19,0,0,0,0
"ASV510",0,19,0,0,0,0
"ASV512",0,0,14,5,0,0
"ASV514",0,0,0,4,8,7
"ASV516",18,0,0,0,0,0
"ASV517",18,0,0,0,0,0
"ASV518",0,18,0,0,0,0
"ASV519",0,0,8,10,0,0
"ASV520",0,0,0,0,4,14
"ASV521",0,0,0,0,0,18
"ASV522",17,0,0,0,0,0
"ASV523",0,17,0,0,0,0
"ASV524",0,17,0,0,0,0
"ASV525",0,17,0,0,0,0
"ASV526",0,0,0,17,0,0
"ASV527",0,0,0,0,8,9
