"","M1","M2","M3","M4","M5","M6"
"ASV92",1,0,53,85,128,30
"ASV93",156,340,0,0,0,0
"ASV95",0,610,0,0,0,0
"ASV96",0,0,42,43,171,57
"ASV97",138,290,14,11,14,0
"ASV98",328,54,0,0,0,0
"ASV99",0,0,36,60,119,90
"ASV101",110,406,0,0,0,0
"ASV103",189,244,0,0,0,0
"ASV104",0,19,61,61,67,67
"ASV105",131,338,0,4,0,0
"ASV106",0,0,67,90,69,48
"ASV107",305,18,0,0,10,0
"ASV108",278,100,0,0,0,0
"ASV109",74,426,0,0,0,0
"ASV110",290,37,0,0,0,0
"ASV111",46,158,36,71,37,19
"ASV113",0,509,0,0,0,0
"ASV114",237,60,5,9,10,0
"ASV115",77,163,75,41,0,0
"ASV117",262,40,0,0,0,0
"ASV118",6,24,64,102,32,24
"ASV119",207,102,7,7,0,0
"ASV120",273,0,0,0,0,0
"ASV122",216,72,4,0,0,0
"ASV123",6,5,72,84,33,22
"ASV124",125,117,12,14,15,10
"ASV126",0,0,15,22,82,93
"ASV127",7,0,17,13,24,114
"ASV129",89,237,0,0,0,0
"ASV130",0,0,43,56,84,29
"ASV131",51,138,24,18,17,18
"ASV132",95,241,0,0,0,0
"ASV133",0,0,55,57,33,56
"ASV134",63,0,25,53,45,15
"ASV135",67,138,18,23,18,7
"ASV136",168,79,3,0,0,0
"ASV137",0,338,5,0,0,2
"ASV138",175,53,0,0,0,0
"ASV139",37,281,0,0,0,0
"ASV140",0,0,43,73,31,19
"ASV141",129,92,3,0,0,0
"ASV142",125,121,0,0,0,0
"ASV143",0,0,58,62,33,16
"ASV144",0,0,40,67,45,19
"ASV145",0,0,64,57,26,28
"ASV146",34,85,40,19,25,13
"ASV147",0,0,16,39,59,26
"ASV148",194,0,0,0,0,0
"ASV149",20,88,30,37,18,17
"ASV150",90,145,0,0,0,0
"ASV151",0,0,57,109,0,0
"ASV152",0,0,20,18,70,42
"ASV153",0,0,17,31,64,16
"ASV154",166,0,0,0,0,0
"ASV155",0,0,18,28,70,31
"ASV157",20,40,32,43,34,12
"ASV158",122,88,0,0,0,0
"ASV159",101,33,11,8,8,2
"ASV160",0,0,25,17,67,35
"ASV161",76,65,19,16,12,0
"ASV162",52,169,9,0,0,0
"ASV163",160,0,0,0,0,0
"ASV164",19,46,21,42,23,8
"ASV165",71,144,0,0,0,0
"ASV166",0,0,15,10,36,77
"ASV167",100,45,6,8,15,0
"ASV168",68,156,0,0,0,0
"ASV169",0,0,0,0,71,50
"ASV170",0,12,23,28,32,38
"ASV171",62,61,19,11,5,6
"ASV172",70,63,17,13,7,0
"ASV173",0,0,26,28,49,29
"ASV174",9,0,31,53,21,10
"ASV175",0,0,31,46,32,15
"ASV176",0,0,42,27,36,14
"ASV177",49,142,0,0,0,0
"ASV178",23,71,33,35,0,0
"ASV179",32,90,15,19,0,0
"ASV180",116,34,0,0,0,0
"ASV181",35,165,0,0,0,0
"ASV182",1,0,35,34,14,19
"ASV183",0,0,27,34,28,20
"ASV184",31,49,17,16,13,0
"ASV185",78,66,0,0,0,0
"ASV186",0,212,0,0,0,0
"ASV187",34,145,0,0,0,0
"ASV188",102,56,0,0,0,0
"ASV189",0,0,22,23,28,22
"ASV190",27,159,0,0,0,0
"ASV191",130,0,0,0,0,0
"ASV192",127,0,0,0,0,0
"ASV193",0,62,19,28,17,7
"ASV194",66,64,10,0,0,0
"ASV195",0,0,12,23,28,34
"ASV196",22,74,11,12,7,5
"ASV197",0,0,38,46,9,6
"ASV198",0,0,0,39,42,12
"ASV199",89,37,0,8,0,0
"ASV200",57,88,0,0,0,0
"ASV201",0,0,17,24,24,30
"ASV202",0,0,8,16,10,49
"ASV203",0,0,13,32,44,0
"ASV204",32,135,0,0,0,0
"ASV205",97,23,0,0,0,0
"ASV206",0,0,17,20,30,15
"ASV207",0,0,27,27,22,14
"ASV208",99,0,0,0,0,0
"ASV209",0,0,6,12,19,39
"ASV210",97,0,0,0,0,0
"ASV211",34,0,17,22,17,0
"ASV212",37,0,11,25,29,0
"ASV213",0,0,16,17,22,31
"ASV214",0,0,3,29,28,27
"ASV215",25,29,9,25,6,4
"ASV216",91,0,0,0,0,0
"ASV217",0,0,8,15,29,28
"ASV218",33,85,10,0,0,0
"ASV219",0,0,5,22,16,25
"ASV220",21,46,15,24,0,0
"ASV221",0,0,26,29,28,0
"ASV222",101,0,0,0,0,0
"ASV223",87,0,0,0,0,0
"ASV224",85,0,0,0,0,0
"ASV225",32,86,0,0,0,0
"ASV226",83,0,0,0,0,0
"ASV227",23,102,0,0,0,0
"ASV228",81,0,0,0,0,0
"ASV229",29,14,13,21,8,0
"ASV230",16,107,0,0,0,0
"ASV231",0,0,18,21,11,8
"ASV232",32,62,6,4,0,0
"ASV235",69,9,0,0,0,0
"ASV236",0,123,0,0,0,0
"ASV238",0,15,11,17,15,5
"ASV239",0,0,6,0,21,30
"ASV240",0,0,10,5,33,16
"ASV241",0,0,0,4,38,16
"ASV244",0,0,46,20,0,0
"ASV245",56,40,0,0,0,0
"ASV246",46,0,3,0,4,3
"ASV247",41,41,0,0,0,0
"ASV248",44,27,0,0,0,0
"ASV249",9,0,15,20,15,0
"ASV250",32,31,0,6,0,0
"ASV251",0,0,26,14,6,6
"ASV252",0,0,15,17,15,8
"ASV253",0,0,7,30,17,0
"ASV255",38,30,4,0,2,0
"ASV256",0,0,15,22,21,0
"ASV257",0,0,14,12,20,8
"ASV258",27,15,7,9,4,5
"ASV259",22,28,5,0,11,8
"ASV260",59,0,0,0,0,0
"ASV262",0,0,16,7,24,11
"ASV263",0,0,18,12,14,9
"ASV264",64,0,0,0,0,0
"ASV265",58,0,0,0,0,1
"ASV266",19,67,0,2,0,0
"ASV267",0,0,9,31,0,15
"ASV268",11,49,8,3,3,0
"ASV269",0,0,0,0,37,0
"ASV270",0,0,0,0,40,0
"ASV271",27,33,2,0,0,0
"ASV272",0,0,7,5,19,12
"ASV273",0,0,0,0,26,18
"ASV274",12,36,11,5,0,0
"ASV275",51,0,0,0,0,0
"ASV277",0,88,0,0,0,0
"ASV278",61,0,0,0,0,0
"ASV280",0,0,14,22,11,0
"ASV281",35,0,0,0,0,0
"ASV282",35,40,0,0,0,0
"ASV283",18,60,0,0,0,0
"ASV284",57,0,0,0,0,0
"ASV285",19,0,19,0,12,0
"ASV286",12,51,4,0,2,0
